PropertyId,Property_BookingId,BookingCreatedDate,ArrivalDate,DepartureDate,Adults,Children,Infants,Persons,NumNights,Channel,RoomRate,CleaningFee,Revenue,ADR,TouristTax,TotalPaid,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate
43469,155168,2024-10-03 16:42:13,2024-10-09 00:00:00,2024-10-12 00:00:00,2,0,0,2,3,Airbnb,391.03,0.0,391.03,130.34,3.96,394.99,Yes,2.0,31.0,Apartment,0.0,2024-02-23 00:00:00
43025,155167,2024-03-10 00:00:00,2025-02-02 00:00:00,2025-02-07 00:00:00,3,0,0,3,5,Booking.com,1692.0,101.13,1793.13,358.63,15.0,1808.13,Yes,4.0,60.0,Apartment,2.0,2019-05-04 00:00:00
43404,155166,2024-03-10 00:00:00,2024-11-18 00:00:00,2024-11-25 00:00:00,3,0,0,3,7,Airbnb,827.17,0.0,827.17,118.17,144.38,971.55,Yes,5.0,45.0,Unknown,2.0,2023-03-22 00:00:00
43276,155165,2024-10-03 15:55:39,2024-11-14 00:00:00,2024-11-18 00:00:00,5,0,0,5,4,Airbnb,692.86,0.0,692.86,173.22,137.5,830.36,Yes,5.0,64.0,Apartment,4.0,2022-02-15 00:00:00
4138,155164,2024-10-03 15:53:02,2024-11-20 00:00:00,2024-12-06 00:00:00,5,0,0,5,16,Airbnb,2005.43,0.0,2005.43,125.34,240.63,2246.06,Yes,5.0,60.0,Apartment,2.0,2013-08-07 00:00:00
43302,155163,2024-10-03 15:40:10,2024-12-08 00:00:00,2024-12-15 00:00:00,2,2,0,4,7,Booking.com,665.0,122.75,787.75,112.54,96.25,884.0,Yes,5.0,100.0,Unknown,3.0,2022-05-25 00:00:00
3964,155162,2024-10-03 15:39:33,2024-10-31 00:00:00,2024-11-03 00:00:00,3,1,0,4,3,Airbnb,633.45,0.0,633.45,211.15,61.88,695.33,Yes,4.0,45.0,Apartment,0.0,2013-06-15 00:00:00
43333,155161,2024-10-03 15:37:24,2024-10-07 00:00:00,2024-10-09 00:00:00,2,0,0,2,2,Booking.com,1131.1265205292193,77.77,1210.5028343016158,144.35,27.5,316.2,Yes,2.0,40.0,Apartment,1.0,2022-07-12 00:00:00
43007,155160,2024-03-10 00:00:00,2024-11-05 00:00:00,2024-11-09 00:00:00,2,0,0,2,4,Booking.com,446.4,74.51,520.91,130.23,55.0,575.91,Yes,2.0,24.0,Apartment,0.0,2019-01-16 00:00:00
43486,155159,2024-10-03 14:25:35,2024-11-08 00:00:00,2024-11-11 00:00:00,3,2,1,6,3,Airbnb,654.06,0.0,654.06,218.02,61.88,715.94,Yes,5.0,68.0,Apartment,3.0,2024-02-24 00:00:00
43521,155158,2024-10-03 14:04:32,2024-12-12 00:00:00,2024-12-16 00:00:00,4,0,0,4,4,Booking.com,1131.1265205292193,97.19,1210.5028343016158,151.37,110.0,715.46,Yes,4.0,70.0,Apartment,2.0,2024-03-20 00:00:00
43425,155157,2024-03-10 00:00:00,2024-11-11 00:00:00,2024-11-18 00:00:00,9,0,0,9,7,Airbnb,1708.28,0.0,1708.28,244.04,433.13,2141.41,Yes,10.0,160.0,House,5.0,2023-05-28 00:00:00
3963,155156,2024-10-03 13:48:43,2024-10-08 00:00:00,2024-10-09 00:00:00,1,0,0,1,1,Manual,0.1,0.0,0.1,262.5946157932011,0.0,0.1,Yes,4.0,50.0,Apartment,1.0,2013-06-13 00:00:00
43507,155155,2024-10-03 13:43:14,2024-11-11 00:00:00,2024-11-14 00:00:00,3,1,0,4,3,Booking.com,353.68,120.75,474.43,158.14,56.25,530.68,Yes,6.0,100.0,Apartment,3.0,2024-03-30 00:00:00
43163,155154,2024-10-03 13:41:12,2024-11-09 00:00:00,2024-11-12 00:00:00,4,2,0,6,3,Booking.com,468.71,153.79,622.5,207.5,82.5,705.0,Yes,7.0,96.0,Apartment,3.0,2020-09-07 00:00:00
43163,155154,2024-10-03 13:41:12,2024-11-09 00:00:00,2024-11-12 00:00:00,4,2,0,6,3,Booking.com,468.71,153.79,622.5,207.5,82.5,705.0,Yes,8.0,96.0,Apartment,3.0,2020-09-07 00:00:00
43530,155153,2024-10-03 13:29:35,2024-11-01 00:00:00,2024-11-04 00:00:00,4,0,0,4,3,Booking.com,757.27,97.19,854.46,284.82,82.5,936.96,Yes,4.0,70.0,Apartment,2.0,2024-03-20 00:00:00
43413,155152,2024-10-03 13:02:49,2024-10-26 00:00:00,2024-11-03 00:00:00,4,2,0,6,8,Airbnb,1951.07,0.0,1951.07,243.88,192.5,2143.57,Yes,7.0,90.0,Apartment,4.0,2023-05-28 00:00:00
43135,155151,2024-03-10 00:00:00,2024-12-09 00:00:00,2024-12-14 00:00:00,2,0,0,2,5,Airbnb,460.66,0.0,460.66,92.13,62.5,523.16,Yes,2.0,32.0,Apartment,0.0,2020-09-06 00:00:00
43389,155150,2024-03-10 00:00:00,2024-11-14 00:00:00,2024-11-21 00:00:00,2,0,0,2,7,Airbnb,759.75,0.0,759.75,108.54,96.25,856.0,Yes,3.0,28.0,Unknown,1.0,2023-02-15 00:00:00
43096,155148,2024-10-03 11:50:30,2024-11-30 00:00:00,2024-12-06 00:00:00,6,0,0,6,6,Stay U-nique.com Website,834.25,0.0,834.25,139.04,247.5,1081.75,Yes,8.0,140.0,Apartment,4.0,2020-07-10 00:00:00
43332,155147,2024-10-03 11:50:17,2024-11-12 00:00:00,2024-11-19 00:00:00,2,0,0,2,7,Airbnb,929.17,0.0,929.17,132.74,96.25,1025.42,Yes,2.0,40.0,Apartment,1.0,2022-07-12 00:00:00
43304,155146,2024-10-03 11:50:05,2024-11-17 00:00:00,2024-11-21 00:00:00,3,0,0,3,4,Airbnb,514.82,0.0,514.82,128.71,82.5,597.32,Yes,6.0,57.0,Unknown,3.0,2022-05-17 00:00:00
43050,155145,2024-10-03 11:22:21,2024-11-12 00:00:00,2024-11-16 00:00:00,6,3,0,9,4,Booking.com,612.85,137.04,749.89,187.47,165.0,914.89,Yes,10.0,148.0,Apartment,3.0,2019-11-02 00:00:00
43172,155144,2024-10-03 11:07:18,2024-10-11 00:00:00,2024-10-13 00:00:00,5,0,0,5,2,Booking.com,443.33,107.41,550.74,275.37,62.5,613.24,Yes,5.0,90.0,Unknown,3.0,2020-11-01 00:00:00
